image_id,path,true_label,true_class,pred_label,pred_class,pred_probability,correct,target_class_mode,target_label,target_class,original_path,gradcam_path,manual_focus_head,manual_focus_beak,manual_focus_wing,manual_focus_plumage,manual_focus_background,manual_notes
4794,data\raw\CUB_200_2011\images\083.White_breasted_Kingfisher\White_Breasted_Kingfisher_0024_73736.jpg,82,083.White_breasted_Kingfisher,82,083.White_breasted_Kingfisher,0.9999833106994629,True,predicted,82,083.White_breasted_Kingfisher,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\001_correct_image4794_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\001_correct_image4794_gradcam.jpg,yes,yes,yes,yes,partial,热区覆盖头部、长喙、蓝色翼部和胸腹羽毛，枝条背景有轻度参与。
5655,data\raw\CUB_200_2011\images\097.Orchard_Oriole\Orchard_Oriole_0091_91774.jpg,96,097.Orchard_Oriole,96,097.Orchard_Oriole,0.9999279975891113,True,predicted,96,097.Orchard_Oriole,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\002_correct_image5655_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\002_correct_image5655_gradcam.jpg,partial,no,partial,yes,partial,热区主要覆盖胸腹橙色羽毛和体侧，头喙较弱，枝条和绿背景有轻度扩散。
6985,data\raw\CUB_200_2011\images\120.Fox_Sparrow\Fox_Sparrow_0053_114780.jpg,119,120.Fox_Sparrow,119,120.Fox_Sparrow,0.9999232292175293,True,predicted,119,120.Fox_Sparrow,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\003_correct_image6985_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\003_correct_image6985_gradcam.jpg,partial,partial,partial,yes,partial,热区集中在胸腹斑纹和体侧，头喙只有部分覆盖，雪地背景有轻度参与。
937,data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0056_18352.jpg,16,017.Cardinal,16,017.Cardinal,0.9999227523803711,True,predicted,16,017.Cardinal,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\004_correct_image937_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\004_correct_image937_gradcam.jpg,yes,partial,partial,yes,partial,热区覆盖冠羽、脸部黑色区域和红色胸腹羽毛，地面和背景有轻度扩散。
3310,data\raw\CUB_200_2011\images\058.Pigeon_Guillemot\Pigeon_Guillemot_0018_40195.jpg,57,058.Pigeon_Guillemot,57,058.Pigeon_Guillemot,0.9999129772186279,True,predicted,57,058.Pigeon_Guillemot,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\005_correct_image3310_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\005_correct_image3310_gradcam.jpg,partial,no,yes,yes,yes,热区覆盖翼部白斑、腿部和水面接触区域，水面背景响应明显，头喙不是主要依据。
693,data\raw\CUB_200_2011\images\013.Bobolink\Bobolink_0019_10552.jpg,12,013.Bobolink,12,013.Bobolink,0.9999071359634399,True,predicted,12,013.Bobolink,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\006_correct_image693_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\006_correct_image693_gradcam.jpg,yes,partial,partial,yes,partial,热区覆盖头胸和背部羽毛，木桩及草地背景有轻度扩散。
1975,data\raw\CUB_200_2011\images\035.Purple_Finch\Purple_Finch_0113_27547.jpg,34,035.Purple_Finch,34,035.Purple_Finch,0.9999032020568848,True,predicted,34,035.Purple_Finch,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\007_correct_image1975_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\007_correct_image1975_gradcam.jpg,yes,partial,partial,yes,partial,热区集中在头胸和粉红色羽毛区域，右侧虚化背景有轻度扩散。
5596,data\raw\CUB_200_2011\images\096.Hooded_Oriole\Hooded_Oriole_0068_90397.jpg,95,096.Hooded_Oriole,95,096.Hooded_Oriole,0.9998928308486938,True,predicted,95,096.Hooded_Oriole,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\008_correct_image5596_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\008_correct_image5596_gradcam.jpg,yes,partial,partial,yes,yes,热区覆盖黑色头部和橙黄色胸腹，也明显扩散到花序和枝条背景。
9607,data\raw\CUB_200_2011\images\164.Cerulean_Warbler\Cerulean_Warbler_0060_797209.jpg,163,164.Cerulean_Warbler,163,164.Cerulean_Warbler,0.9998869895935059,True,predicted,163,164.Cerulean_Warbler,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\009_correct_image9607_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\009_correct_image9607_gradcam.jpg,yes,partial,yes,yes,partial,热区覆盖头部、体侧条纹和翼部黑白纹理，叶片背景有轻度参与。
4475,data\raw\CUB_200_2011\images\077.Tropical_Kingbird\Tropical_Kingbird_0057_69283.jpg,76,077.Tropical_Kingbird,76,077.Tropical_Kingbird,0.9998842477798462,True,predicted,76,077.Tropical_Kingbird,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\010_correct_image4475_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\010_correct_image4475_gradcam.jpg,partial,partial,yes,yes,partial,热区主要覆盖黄色腹部和翼背区域，头喙部分覆盖，背景虚化区域轻度参与。
1899,data\raw\CUB_200_2011\images\034.Gray_crowned_Rosy_Finch\Gray_Crowned_Rosy_Finch_0021_797286.jpg,33,034.Gray_crowned_Rosy_Finch,33,034.Gray_crowned_Rosy_Finch,0.9998759031295776,True,predicted,33,034.Gray_crowned_Rosy_Finch,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\011_correct_image1899_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\011_correct_image1899_gradcam.jpg,partial,no,partial,yes,partial,热区集中在胸腹红褐色羽毛，头喙较弱，木桩背景有轻度响应。
979,data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0047_19400.jpg,17,018.Spotted_Catbird,17,018.Spotted_Catbird,0.9998594522476196,True,predicted,17,018.Spotted_Catbird,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\012_correct_image979_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\012_correct_image979_gradcam.jpg,partial,no,partial,yes,partial,热区主要覆盖胸腹鳞状羽毛，头部边缘部分覆盖，暗背景枝条轻度参与。
6373,data\raw\CUB_200_2011\images\109.American_Redstart\American_Redstart_0087_103371.jpg,108,109.American_Redstart,20,021.Eastern_Towhee,0.9963209629058838,False,predicted,20,021.Eastern_Towhee,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\013_wrong_image6373_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\013_wrong_image6373_gradcam.jpg,partial,no,partial,yes,partial,热区覆盖鸟体橙黑羽毛并扩散到枝条，错误预测可能受体色和枝条上下文共同影响。
8406,data\raw\CUB_200_2011\images\144.Common_Tern\Common_Tern_0084_147980.jpg,143,144.Common_Tern,146,147.Least_Tern,0.9956035614013672,False,predicted,146,147.Least_Tern,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\014_wrong_image8406_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\014_wrong_image8406_gradcam.jpg,partial,partial,partial,yes,yes,热区集中在鸟体中心并扩散到沙地和水面，错误预测与相近燕鸥外观及场景背景有关。
3121,data\raw\CUB_200_2011\images\054.Blue_Grosbeak\Blue_Grosbeak_0111_36841.jpg,53,054.Blue_Grosbeak,13,014.Indigo_Bunting,0.9939180612564087,False,predicted,13,014.Indigo_Bunting,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\015_wrong_image3121_original.jpg,outputs\explainability\gradcam_phase6\20260823_222949_phase5_resnet18_ce_supcon_temp0_1\images\015_wrong_image3121_gradcam.jpg,partial,no,partial,yes,yes,热区覆盖蓝色鸟体但与草丛强烈混合，错误预测可能受蓝色羽毛和草地遮挡共同影响。
