image_id,label,class_name,path
902,16,017.Cardinal,data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0045_18021.jpg
906,16,017.Cardinal,data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0054_19334.jpg
928,16,017.Cardinal,data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0053_17541.jpg
934,16,017.Cardinal,data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0084_17576.jpg
937,16,017.Cardinal,data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0056_18352.jpg
939,16,017.Cardinal,data\raw\CUB_200_2011\images\017.Cardinal\Cardinal_0092_17591.jpg
956,17,018.Spotted_Catbird,data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0016_796803.jpg
959,17,018.Spotted_Catbird,data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0031_796806.jpg
964,17,018.Spotted_Catbird,data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0039_796811.jpg
966,17,018.Spotted_Catbird,data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0045_796814.jpg
979,17,018.Spotted_Catbird,data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0047_19400.jpg
989,17,018.Spotted_Catbird,data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0008_796789.jpg
1405,25,026.Bronzed_Cowbird,data\raw\CUB_200_2011\images\026.Bronzed_Cowbird\Bronzed_Cowbird_0012_796247.jpg
1415,25,026.Bronzed_Cowbird,data\raw\CUB_200_2011\images\026.Bronzed_Cowbird\Bronzed_Cowbird_0052_796216.jpg
1420,25,026.Bronzed_Cowbird,data\raw\CUB_200_2011\images\026.Bronzed_Cowbird\Bronzed_Cowbird_0056_796222.jpg
1440,25,026.Bronzed_Cowbird,data\raw\CUB_200_2011\images\026.Bronzed_Cowbird\Bronzed_Cowbird_0029_796256.jpg
1445,25,026.Bronzed_Cowbird,data\raw\CUB_200_2011\images\026.Bronzed_Cowbird\Bronzed_Cowbird_0005_24173.jpg
1459,25,026.Bronzed_Cowbird,data\raw\CUB_200_2011\images\026.Bronzed_Cowbird\Bronzed_Cowbird_0044_24145.jpg
2173,38,039.Least_Flycatcher,data\raw\CUB_200_2011\images\039.Least_Flycatcher\Least_Flycatcher_0060_30214.jpg
2175,38,039.Least_Flycatcher,data\raw\CUB_200_2011\images\039.Least_Flycatcher\Least_Flycatcher_0011_30222.jpg
2176,38,039.Least_Flycatcher,data\raw\CUB_200_2011\images\039.Least_Flycatcher\Least_Flycatcher_0024_30230.jpg
2182,38,039.Least_Flycatcher,data\raw\CUB_200_2011\images\039.Least_Flycatcher\Least_Flycatcher_0095_30277.jpg
2185,38,039.Least_Flycatcher,data\raw\CUB_200_2011\images\039.Least_Flycatcher\Least_Flycatcher_0077_30296.jpg
2227,38,039.Least_Flycatcher,data\raw\CUB_200_2011\images\039.Least_Flycatcher\Least_Flycatcher_0099_30200.jpg
4674,80,081.Pied_Kingfisher,data\raw\CUB_200_2011\images\081.Pied_Kingfisher\Pied_Kingfisher_0080_72199.jpg
4677,80,081.Pied_Kingfisher,data\raw\CUB_200_2011\images\081.Pied_Kingfisher\Pied_Kingfisher_0040_72739.jpg
4678,80,081.Pied_Kingfisher,data\raw\CUB_200_2011\images\081.Pied_Kingfisher\Pied_Kingfisher_0022_72247.jpg
4680,80,081.Pied_Kingfisher,data\raw\CUB_200_2011\images\081.Pied_Kingfisher\Pied_Kingfisher_0128_72775.jpg
4699,80,081.Pied_Kingfisher,data\raw\CUB_200_2011\images\081.Pied_Kingfisher\Pied_Kingfisher_0106_71404.jpg
4712,80,081.Pied_Kingfisher,data\raw\CUB_200_2011\images\081.Pied_Kingfisher\Pied_Kingfisher_0107_71987.jpg
5270,90,091.Mockingbird,data\raw\CUB_200_2011\images\091.Mockingbird\Mockingbird_0015_80652.jpg
5271,90,091.Mockingbird,data\raw\CUB_200_2011\images\091.Mockingbird\Mockingbird_0035_79635.jpg
5294,90,091.Mockingbird,data\raw\CUB_200_2011\images\091.Mockingbird\Mockingbird_0106_81381.jpg
5308,90,091.Mockingbird,data\raw\CUB_200_2011\images\091.Mockingbird\Mockingbird_0047_80819.jpg
5313,90,091.Mockingbird,data\raw\CUB_200_2011\images\091.Mockingbird\Mockingbird_0086_81868.jpg
5322,90,091.Mockingbird,data\raw\CUB_200_2011\images\091.Mockingbird\Mockingbird_0087_79600.jpg
5874,100,101.White_Pelican,data\raw\CUB_200_2011\images\101.White_Pelican\White_Pelican_0035_96312.jpg
5875,100,101.White_Pelican,data\raw\CUB_200_2011\images\101.White_Pelican\White_Pelican_0009_97340.jpg
5876,100,101.White_Pelican,data\raw\CUB_200_2011\images\101.White_Pelican\White_Pelican_0071_96061.jpg
5900,100,101.White_Pelican,data\raw\CUB_200_2011\images\101.White_Pelican\White_Pelican_0075_96422.jpg
5910,100,101.White_Pelican,data\raw\CUB_200_2011\images\101.White_Pelican\White_Pelican_0047_97190.jpg
5913,100,101.White_Pelican,data\raw\CUB_200_2011\images\101.White_Pelican\White_Pelican_0054_97528.jpg
5946,101,102.Western_Wood_Pewee,data\raw\CUB_200_2011\images\102.Western_Wood_Pewee\Western_Wood_Pewee_0041_795048.jpg
5947,101,102.Western_Wood_Pewee,data\raw\CUB_200_2011\images\102.Western_Wood_Pewee\Western_Wood_Pewee_0003_795050.jpg
5948,101,102.Western_Wood_Pewee,data\raw\CUB_200_2011\images\102.Western_Wood_Pewee\Western_Wood_Pewee_0040_795051.jpg
5951,101,102.Western_Wood_Pewee,data\raw\CUB_200_2011\images\102.Western_Wood_Pewee\Western_Wood_Pewee_0028_795057.jpg
5963,101,102.Western_Wood_Pewee,data\raw\CUB_200_2011\images\102.Western_Wood_Pewee\Western_Wood_Pewee_0059_98262.jpg
5970,101,102.Western_Wood_Pewee,data\raw\CUB_200_2011\images\102.Western_Wood_Pewee\Western_Wood_Pewee_0068_98024.jpg
6984,119,120.Fox_Sparrow,data\raw\CUB_200_2011\images\120.Fox_Sparrow\Fox_Sparrow_0122_114776.jpg
6985,119,120.Fox_Sparrow,data\raw\CUB_200_2011\images\120.Fox_Sparrow\Fox_Sparrow_0053_114780.jpg
6995,119,120.Fox_Sparrow,data\raw\CUB_200_2011\images\120.Fox_Sparrow\Fox_Sparrow_0035_114866.jpg
7004,119,120.Fox_Sparrow,data\raw\CUB_200_2011\images\120.Fox_Sparrow\Fox_Sparrow_0012_115324.jpg
7008,119,120.Fox_Sparrow,data\raw\CUB_200_2011\images\120.Fox_Sparrow\Fox_Sparrow_0086_115484.jpg
7022,119,120.Fox_Sparrow,data\raw\CUB_200_2011\images\120.Fox_Sparrow\Fox_Sparrow_0036_115581.jpg
7687,131,132.White_crowned_Sparrow,data\raw\CUB_200_2011\images\132.White_crowned_Sparrow\White_Crowned_Sparrow_0064_126467.jpg
7703,131,132.White_crowned_Sparrow,data\raw\CUB_200_2011\images\132.White_crowned_Sparrow\White_Crowned_Sparrow_0078_127603.jpg
7706,131,132.White_crowned_Sparrow,data\raw\CUB_200_2011\images\132.White_crowned_Sparrow\White_Crowned_Sparrow_0001_127115.jpg
7708,131,132.White_crowned_Sparrow,data\raw\CUB_200_2011\images\132.White_crowned_Sparrow\White_Crowned_Sparrow_0010_127651.jpg
7711,131,132.White_crowned_Sparrow,data\raw\CUB_200_2011\images\132.White_crowned_Sparrow\White_Crowned_Sparrow_0094_128627.jpg
7726,131,132.White_crowned_Sparrow,data\raw\CUB_200_2011\images\132.White_crowned_Sparrow\White_Crowned_Sparrow_0100_126267.jpg
8179,139,140.Summer_Tanager,data\raw\CUB_200_2011\images\140.Summer_Tanager\Summer_Tanager_0099_139310.jpg
8181,139,140.Summer_Tanager,data\raw\CUB_200_2011\images\140.Summer_Tanager\Summer_Tanager_0063_139743.jpg
8191,139,140.Summer_Tanager,data\raw\CUB_200_2011\images\140.Summer_Tanager\Summer_Tanager_0068_139875.jpg
8193,139,140.Summer_Tanager,data\raw\CUB_200_2011\images\140.Summer_Tanager\Summer_Tanager_0006_140137.jpg
8212,139,140.Summer_Tanager,data\raw\CUB_200_2011\images\140.Summer_Tanager\Summer_Tanager_0010_139948.jpg
8217,139,140.Summer_Tanager,data\raw\CUB_200_2011\images\140.Summer_Tanager\Summer_Tanager_0030_139210.jpg
8233,140,141.Artic_Tern,data\raw\CUB_200_2011\images\141.Artic_Tern\Artic_Tern_0012_143410.jpg
8245,140,141.Artic_Tern,data\raw\CUB_200_2011\images\141.Artic_Tern\Artic_Tern_0021_143477.jpg
8258,140,141.Artic_Tern,data\raw\CUB_200_2011\images\141.Artic_Tern\Artic_Tern_0073_143486.jpg
8259,140,141.Artic_Tern,data\raw\CUB_200_2011\images\141.Artic_Tern\Artic_Tern_0105_141098.jpg
