image_id,path,true_label,true_class,pred_label,pred_class,pred_probability,correct,target_class_mode,target_label,target_class,original_path,attention_path,heatmap_path,manual_focus_local_detail,manual_focus_bird_body,manual_focus_background,manual_notes
11181,data\raw\CUB_200_2011\images\190.Red_cockaded_Woodpecker\Red_Cockaded_Woodpecker_0037_794733.jpg,189,190.Red_cockaded_Woodpecker,189,190.Red_cockaded_Woodpecker,1.0,True,predicted,189,190.Red_cockaded_Woodpecker,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\001_correct_image11181_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\001_correct_image11181_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\001_correct_image11181_attention_heatmap.npy,,,,
10954,data\raw\CUB_200_2011\images\186.Cedar_Waxwing\Cedar_Waxwing_0054_178141.jpg,185,186.Cedar_Waxwing,185,186.Cedar_Waxwing,0.9999996423721313,True,predicted,185,186.Cedar_Waxwing,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\002_correct_image10954_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\002_correct_image10954_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\002_correct_image10954_attention_heatmap.npy,,,,
870,data\raw\CUB_200_2011\images\016.Painted_Bunting\Painted_Bunting_0087_15232.jpg,15,016.Painted_Bunting,15,016.Painted_Bunting,0.9999986886978149,True,predicted,15,016.Painted_Bunting,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\003_correct_image870_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\003_correct_image870_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\003_correct_image870_attention_heatmap.npy,,,,
7231,data\raw\CUB_200_2011\images\124.Le_Conte_Sparrow\Le_Conte_Sparrow_0058_795181.jpg,123,124.Le_Conte_Sparrow,123,124.Le_Conte_Sparrow,0.9999986886978149,True,predicted,123,124.Le_Conte_Sparrow,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\004_correct_image7231_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\004_correct_image7231_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\004_correct_image7231_attention_heatmap.npy,,,,
1113,data\raw\CUB_200_2011\images\020.Yellow_breasted_Chat\Yellow_Breasted_Chat_0033_21873.jpg,19,020.Yellow_breasted_Chat,19,020.Yellow_breasted_Chat,0.9999985694885254,True,predicted,19,020.Yellow_breasted_Chat,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\005_correct_image1113_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\005_correct_image1113_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\005_correct_image1113_attention_heatmap.npy,,,,
4674,data\raw\CUB_200_2011\images\081.Pied_Kingfisher\Pied_Kingfisher_0080_72199.jpg,80,081.Pied_Kingfisher,80,081.Pied_Kingfisher,0.9999983310699463,True,predicted,80,081.Pied_Kingfisher,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\006_correct_image4674_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\006_correct_image4674_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\006_correct_image4674_attention_heatmap.npy,,,,
979,data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0047_19400.jpg,17,018.Spotted_Catbird,17,018.Spotted_Catbird,0.9999980926513672,True,predicted,17,018.Spotted_Catbird,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\007_correct_image979_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\007_correct_image979_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\007_correct_image979_attention_heatmap.npy,,,,
875,data\raw\CUB_200_2011\images\016.Painted_Bunting\Painted_Bunting_0006_15249.jpg,15,016.Painted_Bunting,15,016.Painted_Bunting,0.999997615814209,True,predicted,15,016.Painted_Bunting,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\008_correct_image875_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\008_correct_image875_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\008_correct_image875_attention_heatmap.npy,,,,
5142,data\raw\CUB_200_2011\images\088.Western_Meadowlark\Western_Meadowlark_0077_77814.jpg,87,088.Western_Meadowlark,87,088.Western_Meadowlark,0.999997615814209,True,predicted,87,088.Western_Meadowlark,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\009_correct_image5142_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\009_correct_image5142_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\009_correct_image5142_attention_heatmap.npy,,,,
11120,data\raw\CUB_200_2011\images\189.Red_bellied_Woodpecker\Red_Bellied_Woodpecker_0088_180941.jpg,188,189.Red_bellied_Woodpecker,188,189.Red_bellied_Woodpecker,0.9999967813491821,True,predicted,188,189.Red_bellied_Woodpecker,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\010_correct_image11120_original.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\010_correct_image11120_attention.jpg,outputs\explainability\swin_attention_bbox_part_alignment_source\20260830_141148_foreground_swin_tiny_bbox224\images\010_correct_image11120_attention_heatmap.npy,,,,
