image_id,path,true_label,true_class,pred_label,pred_class,pred_probability,correct,target_class_mode,target_label,target_class,original_path,attention_path,manual_focus_local_detail,manual_focus_bird_body,manual_focus_background,manual_notes
9994,data\raw\CUB_200_2011\images\170.Mourning_Warbler\Mourning_Warbler_0059_795365.jpg,169,170.Mourning_Warbler,169,170.Mourning_Warbler,0.9999960660934448,True,predicted,169,170.Mourning_Warbler,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\001_correct_image9994_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\001_correct_image9994_attention.jpg,yes,yes,partial,attention 覆盖头部、胸腹黄色羽毛和翼部，鸟主体证据明确；枝条和背景色块有轻度参与。
11738,data\raw\CUB_200_2011\images\200.Common_Yellowthroat\Common_Yellowthroat_0081_190525.jpg,199,200.Common_Yellowthroat,199,200.Common_Yellowthroat,0.9999938011169434,True,predicted,199,200.Common_Yellowthroat,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\002_correct_image11738_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\002_correct_image11738_attention.jpg,yes,yes,yes,attention 覆盖黑色面罩、黄色喉胸和尾部，局部判别线索较清楚；草茎和背景红色区域也明显参与。
979,data\raw\CUB_200_2011\images\018.Spotted_Catbird\Spotted_Catbird_0047_19400.jpg,17,018.Spotted_Catbird,17,018.Spotted_Catbird,0.9999897480010986,True,predicted,17,018.Spotted_Catbird,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\003_correct_image979_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\003_correct_image979_attention.jpg,partial,yes,partial,attention 主要覆盖胸腹鳞状羽毛和体侧，头眼区域部分覆盖；暗背景和枝条有轻度参与。
4424,data\raw\CUB_200_2011\images\076.Dark_eyed_Junco\Dark_Eyed_Junco_0115_68840.jpg,75,076.Dark_eyed_Junco,75,076.Dark_eyed_Junco,0.9999862909317017,True,predicted,75,076.Dark_eyed_Junco,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\004_correct_image4424_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\004_correct_image4424_attention.jpg,partial,yes,yes,attention 覆盖头胸和腹部羽毛，但松针、枝条和绿色背景响应较强，主体与背景证据混合。
418,data\raw\CUB_200_2011\images\008.Rhinoceros_Auklet\Rhinoceros_Auklet_0012_2161.jpg,7,008.Rhinoceros_Auklet,7,008.Rhinoceros_Auklet,0.9999855756759644,True,predicted,7,008.Rhinoceros_Auklet,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\005_correct_image418_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\005_correct_image418_attention.jpg,yes,yes,yes,attention 覆盖头部、喙、翼部白斑和腿部，同时水面背景响应明显，模型利用了鸟体与水面场景共同证据。
11760,data\raw\CUB_200_2011\images\200.Common_Yellowthroat\Common_Yellowthroat_0121_190597.jpg,199,200.Common_Yellowthroat,199,200.Common_Yellowthroat,0.9999821186065674,True,predicted,199,200.Common_Yellowthroat,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\006_correct_image11760_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\006_correct_image11760_attention.jpg,partial,yes,yes,attention 覆盖黄色胸腹和体侧，黑色面罩部分覆盖；草茎和穗状植物背景明显参与。
1554,data\raw\CUB_200_2011\images\028.Brown_Creeper\Brown_Creeper_0023_24940.jpg,27,028.Brown_Creeper,27,028.Brown_Creeper,0.9999815225601196,True,predicted,27,028.Brown_Creeper,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\007_correct_image1554_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\007_correct_image1554_attention.jpg,partial,partial,yes,attention 在鸟体和树干纹理之间混合，鸟主体只被部分覆盖，树皮背景是很强的响应区域。
4427,data\raw\CUB_200_2011\images\076.Dark_eyed_Junco\Dark_Eyed_Junco_0048_66981.jpg,75,076.Dark_eyed_Junco,75,076.Dark_eyed_Junco,0.9999788999557495,True,predicted,75,076.Dark_eyed_Junco,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\008_correct_image4427_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\008_correct_image4427_attention.jpg,partial,yes,partial,attention 集中在胸腹和体侧羽毛，头部和喙覆盖较弱；虚化背景有轻度响应。
4803,data\raw\CUB_200_2011\images\083.White_breasted_Kingfisher\White_Breasted_Kingfisher_0084_73247.jpg,82,083.White_breasted_Kingfisher,82,083.White_breasted_Kingfisher,0.9999700784683228,True,predicted,82,083.White_breasted_Kingfisher,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\009_correct_image4803_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\009_correct_image4803_attention.jpg,yes,yes,partial,attention 覆盖红褐色头部、长喙、蓝色翼尾和胸腹区域；枝条及背景色块有轻度参与。
3310,data\raw\CUB_200_2011\images\058.Pigeon_Guillemot\Pigeon_Guillemot_0018_40195.jpg,57,058.Pigeon_Guillemot,57,058.Pigeon_Guillemot,0.9999699592590332,True,predicted,57,058.Pigeon_Guillemot,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\010_correct_image3310_original.jpg,outputs\explainability\swin_attention_phase6\20260823_001810_baseline_swin_tiny_protocol\images\010_correct_image3310_attention.jpg,yes,yes,partial,attention 覆盖展开翼部白斑、红色腿部和黑色鸟体，水面有一定响应但主体证据占主导。
